Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_264_1017,VDD,Metal1,601.2600,1069.7275,3.294695
FILLER_264_1009,VDD,Metal1,595.5600,1070.1600,3.294695
FILLER_264_1005,VDD,Metal1,594.5400,1069.7275,3.294695
FILLER_264_996,VDD,Metal1,588.2800,1070.1600,3.294703
FILLER_264_994,VDD,Metal1,587.4400,1070.1600,3.294703
FILLER_264_949,VDD,Metal1,561.9600,1070.1600,3.294705
FILLER_264_947,VDD,Metal1,561.1200,1070.1600,3.294705
FILLER_264_944,VDD,Metal1,559.1600,1070.1600,3.294705
FILLER_264_927,VDD,Metal1,549.6400,1070.1600,3.294706
FILLER_264_923,VDD,Metal1,548.6200,1069.7275,3.294706
FILLER_264_877,VDD,Metal1,522.8600,1069.7275,3.294707
FILLER_264_859,VDD,Metal1,511.8400,1070.1600,3.294709
FILLER_264_855,VDD,Metal1,510.5400,1069.7275,3.294709
FILLER_264_847,VDD,Metal1,507.3065,1069.5830,3.294709
FILLER_264_838,VDD,Metal1,499.8000,1070.1600,3.294711
FILLER_264_830,VDD,Metal1,497.7865,1069.5830,3.294711
FILLER_264_811,VDD,Metal1,484.6800,1070.1600,3.294714
FILLER_264_807,VDD,Metal1,483.6600,1069.7275,3.294714
FILLER_264_784,VDD,Metal1,469.5600,1070.1600,3.294717
FILLER_264_782,VDD,Metal1,468.7200,1070.1600,3.294717
FILLER_264_741,VDD,Metal1,445.7600,1070.1600,3.294724
FILLER_264_737,VDD,Metal1,444.4600,1069.7275,3.294724
FILLER_264_734,VDD,Metal1,441.5600,1070.1600,3.294725
FILLER_264_683,VDD,Metal1,413.2800,1070.1600,3.294726
FILLER_264_667,VDD,Metal1,408.8480,1069.4680,3.294727
FILLER_264_663,VDD,Metal1,402.0800,1070.1600,3.294728
FILLER_264_657,VDD,Metal1,398.4400,1070.1600,3.294728
FILLER_264_649,VDD,Metal1,396.4265,1069.5830,3.294728
FILLER_264_633,VDD,Metal1,389.8080,1069.4680,3.294729
FILLER_264_601,VDD,Metal1,367.3600,1070.1600,3.294734
FILLER_264_597,VDD,Metal1,366.0600,1069.7275,3.294734
