net,length_um
_03040_,14.66µm
_03120_,14.66µm
_03478_,14.66µm
_03722_,14.66µm
_04258_,14.66µm
_04276_,14.66µm
_05438_,14.66µm
_05717_,14.66µm
_05773_,14.66µm
_06830_,14.66µm
_06926_,14.66µm
_07227_,14.66µm
_07727_,14.66µm
_08543_,14.66µm
_08710_,14.66µm
_09790_,14.66µm
_10842_,14.66µm
_11264_,14.66µm
_11428_,14.66µm
_11669_,14.66µm
_11937_,14.66µm
_12064_,14.66µm
_12102_,14.66µm
_13456_,14.66µm
_13485_,14.66µm
_13619_,14.66µm
_13639_,14.66µm
_13673_,14.66µm
_13782_,14.66µm
_14347_,14.66µm
_14594_,14.66µm
_14881_,14.66µm
_14970_,14.66µm
_15026_,14.66µm
_15115_,14.66µm
_15722_,14.66µm
_15799_,14.66µm
_15940_,14.66µm
_16267_,14.66µm
_16504_,14.66µm
_17355_,14.66µm
_17424_,14.66µm
u_integration_final.integration_inst.command_parser_inst.o_matrix_2\[0\],14.66µm
u_integration_final.integration_inst.reg_bank_inst.accum\[2\]\[9\],14.66µm
u_integration_final.integration_inst.reg_bank_inst.accum\[5\]\[16\],14.66µm
u_integration_final.integration_inst.reg_bank_inst.accum\[7\]\[13\],14.66µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[20\],14.66µm
_00572_,14.61µm
_00733_,14.61µm
_00992_,14.61µm
_01126_,14.61µm
_01542_,14.61µm
_02066_,14.61µm
_02086_,14.61µm
_02207_,14.61µm
_02528_,14.61µm
_02661_,14.61µm
_02707_,14.61µm
_02739_,14.61µm
_03535_,14.61µm
_03713_,14.61µm
_04275_,14.61µm
_04338_,14.61µm
_04689_,14.61µm
_04824_,14.61µm
_04846_,14.61µm
_04884_,14.61µm
_05043_,14.61µm
_05119_,14.61µm
_05509_,14.61µm
_05605_,14.61µm
_05695_,14.61µm
_05843_,14.61µm
_06290_,14.61µm
_06387_,14.61µm
_06421_,14.61µm
_06471_,14.61µm
_06919_,14.61µm
_07059_,14.61µm
_07156_,14.61µm
_07378_,14.61µm
_07398_,14.61µm
_08900_,14.61µm
_09000_,14.61µm
_09745_,14.61µm
_09753_,14.61µm
_09762_,14.61µm
_10088_,14.61µm
_10275_,14.61µm
_10364_,14.61µm
_10366_,14.61µm
_11053_,14.61µm
_11061_,14.61µm
_11420_,14.61µm
_11569_,14.61µm
_11791_,14.61µm
_11841_,14.61µm
_11997_,14.61µm
_12045_,14.61µm
_12539_,14.61µm
_12814_,14.61µm
_12979_,14.61µm
_13536_,14.61µm
_13739_,14.61µm
_13802_,14.61µm
_13942_,14.61µm
_14339_,14.61µm
_14417_,14.61µm
_14640_,14.61µm
_14858_,14.61µm
_15294_,14.61µm
_15384_,14.61µm
_15646_,14.61µm
_15730_,14.61µm
_15738_,14.61µm
_15773_,14.61µm
_15936_,14.61µm
_16005_,14.61µm
_16010_,14.61µm
_16014_,14.61µm
_16020_,14.61µm
_16123_,14.61µm
_16177_,14.61µm
_16459_,14.61µm
_16643_,14.61µm
_16656_,14.61µm
_16702_,14.61µm
_17092_,14.61µm
_17250_,14.61µm
_17362_,14.61µm
_17471_,14.61µm
_17542_,14.61µm
u_integration_final.integration_inst.command_parser_inst.o_quantizer_zero_point\[0\],14.61µm
u_integration_final.integration_inst.reg_bank_inst.accum\[1\]\[21\],14.61µm
u_integration_final.integration_inst.reg_bank_inst.accum\[3\]\[10\],14.61µm
u_integration_final.uart_inst.ut.count16\[1\],14.61µm
net376,14.61µm
_00051_,14.56µm
_01852_,14.56µm
_02329_,14.56µm
_02712_,14.56µm
_02754_,14.56µm
_02814_,14.56µm
_02960_,14.56µm
_02990_,14.56µm
_03183_,14.56µm
_03253_,14.56µm
_03342_,14.56µm
_03379_,14.56µm
_04067_,14.56µm
_04068_,14.56µm
_04108_,14.56µm
_04359_,14.56µm
_04441_,14.56µm
_04502_,14.56µm
_04603_,14.56µm
_04906_,14.56µm
_04937_,14.56µm
_05754_,14.56µm
_05876_,14.56µm
_06487_,14.56µm
_07705_,14.56µm
_07721_,14.56µm
_07942_,14.56µm
_07971_,14.56µm
_08269_,14.56µm
_08298_,14.56µm
_09172_,14.56µm
_09585_,14.56µm
_09603_,14.56µm
_09648_,14.56µm
_09712_,14.56µm
_09978_,14.56µm
_10041_,14.56µm
_10644_,14.56µm
_11422_,14.56µm
_11909_,14.56µm
_12107_,14.56µm
_12125_,14.56µm
_12700_,14.56µm
_12730_,14.56µm
_13066_,14.56µm
_13493_,14.56µm
_13723_,14.56µm
_14142_,14.56µm
_14256_,14.56µm
_14572_,14.56µm
_15027_,14.56µm
_15054_,14.56µm
_15055_,14.56µm
_15228_,14.56µm
_15564_,14.56µm
_15632_,14.56µm
_16119_,14.56µm
_16237_,14.56µm
_16302_,14.56µm
_16364_,14.56µm
_16411_,14.56µm
_16794_,14.56µm
_17377_,14.56µm
u_integration_final.uart_inst.ur.count16\[1\],14.56µm
net2369,14.56µm
net3700,14.56µm
net4007,14.56µm
net4014,14.56µm
_02986_,14.2µm
_04052_,14.15µm
_07054_,14.15µm
_09275_,14.15µm
_10475_,14.15µm
_10814_,14.15µm
_13019_,14.15µm
_13696_,14.15µm
_14179_,14.15µm
_16672_,14.15µm
u_integration_final.integration_inst.quantizer_inst.shifted_data\[34\],14.15µm
u_integration_final.integration_inst.reg_bank_inst.accum\[4\]\[13\],14.15µm
u_integration_final.integration_inst.reg_bank_inst.accum\[6\]\[6\],14.15µm
_02160_,14.1µm
_02296_,14.1µm
_02419_,14.1µm
_02613_,14.1µm
_02820_,14.1µm
_02852_,14.1µm
_02871_,14.1µm
_02879_,14.1µm
_02930_,14.1µm
_03396_,14.1µm
_03643_,14.1µm
_03798_,14.1µm
_03811_,14.1µm
_04020_,14.1µm
_04323_,14.1µm
_04402_,14.1µm
_05140_,14.1µm
_05243_,14.1µm
_05672_,14.1µm
_05827_,14.1µm
_06022_,14.1µm
_06088_,14.1µm
_06347_,14.1µm
_06455_,14.1µm
_06470_,14.1µm
_06855_,14.1µm
_06876_,14.1µm
_07818_,14.1µm
_08778_,14.1µm
_08823_,14.1µm
_09152_,14.1µm
_09242_,14.1µm
_09417_,14.1µm
_09443_,14.1µm
_09787_,14.1µm
_10368_,14.1µm
_10379_,14.1µm
_11694_,14.1µm
_11859_,14.1µm
_11930_,14.1µm
_12446_,14.1µm
_12671_,14.1µm
_12946_,14.1µm
_13340_,14.1µm
_13453_,14.1µm
_13595_,14.1µm
_13794_,14.1µm
_13893_,14.1µm
_14026_,14.1µm
_14232_,14.1µm
_14427_,14.1µm
_14470_,14.1µm
_14506_,14.1µm
_14800_,14.1µm
_14991_,14.1µm
_15194_,14.1µm
_15284_,14.1µm
_15370_,14.1µm
_15717_,14.1µm
_16032_,14.1µm
_16826_,14.1µm
_16935_,14.1µm
_17019_,14.1µm
_17220_,14.1µm
_17602_,14.1µm
u_integration_final.integration_inst.command_parser_inst.i_data_rd\[5\],14.1µm
u_integration_final.integration_inst.reg_bank_inst.accum\[7\]\[14\],14.1µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[16\],14.1µm
net1191,14.1µm
net1965,14.1µm
net2398,14.1µm
_00210_,14.05µm
_00576_,14.05µm
_00577_,14.05µm
_00600_,14.05µm
_00602_,14.05µm
_01087_,14.05µm
_01094_,14.05µm
_01197_,14.05µm
_01496_,14.05µm
_01584_,14.05µm
_01591_,14.05µm
_01592_,14.05µm
_01622_,14.05µm
_02099_,14.05µm
_02354_,14.05µm
_02724_,14.05µm
_02733_,14.05µm
_02734_,14.05µm
_02889_,14.05µm
_02988_,14.05µm
_03090_,14.05µm
_03125_,14.05µm
_03255_,14.05µm
_03412_,14.05µm
_03442_,14.05µm
_03754_,14.05µm
_03852_,14.05µm
_03920_,14.05µm
_04030_,14.05µm
_04125_,14.05µm
_04821_,14.05µm
_05042_,14.05µm
_05412_,14.05µm
_05455_,14.05µm
_05923_,14.05µm
_05966_,14.05µm
_06103_,14.05µm
_06293_,14.05µm
_06807_,14.05µm
_06862_,14.05µm
_07053_,14.05µm
_07153_,14.05µm
_07287_,14.05µm
_07991_,14.05µm
_07999_,14.05µm
_08311_,14.05µm
_08816_,14.05µm
_08818_,14.05µm
_09089_,14.05µm
_09116_,14.05µm
_09254_,14.05µm
_09460_,14.05µm
_09741_,14.05µm
_09988_,14.05µm
_10092_,14.05µm
_10178_,14.05µm
_10184_,14.05µm
_10228_,14.05µm
_10302_,14.05µm
_10668_,14.05µm
_11294_,14.05µm
_11425_,14.05µm
_11445_,14.05µm
_11541_,14.05µm
_11639_,14.05µm
_11856_,14.05µm
_11866_,14.05µm
_12336_,14.05µm
_12450_,14.05µm
_12525_,14.05µm
_12585_,14.05µm
_12736_,14.05µm
_12825_,14.05µm
_12975_,14.05µm
_13324_,14.05µm
_13695_,14.05µm
_14150_,14.05µm
_14258_,14.05µm
_14407_,14.05µm
_14459_,14.05µm
_14471_,14.05µm
_14507_,14.05µm
_14609_,14.05µm
_14728_,14.05µm
_14734_,14.05µm
_14874_,14.05µm
_14953_,14.05µm
_15014_,14.05µm
_15392_,14.05µm
_15525_,14.05µm
_15683_,14.05µm
_15725_,14.05µm
_15850_,14.05µm
_16041_,14.05µm
_16072_,14.05µm
_16111_,14.05µm
_16322_,14.05µm
_16502_,14.05µm
_16563_,14.05µm
_16686_,14.05µm
_16908_,14.05µm
_16966_,14.05µm
_17013_,14.05µm
_17020_,14.05µm
_17374_,14.05µm
_17461_,14.05µm
_17506_,14.05µm
_17565_,14.05µm
_17624_,14.05µm
u_integration_final.integration_inst.command_parser_inst.o_uart_tx_data\[4\],14.05µm
u_integration_final.integration_inst.reg_bank_inst.accum\[1\]\[6\],14.05µm
u_integration_final.integration_inst.reg_bank_inst.accum\[7\]\[17\],14.05µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[5\],14.05µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[9\],14.05µm
net2194,14.05µm
net3478,14.05µm
_00877_,14µm
_01753_,14µm
_01830_,14µm
_02244_,14µm
_02278_,14µm
_02370_,14µm
_02685_,14µm
_02884_,14µm
_03527_,14µm
_03611_,14µm
_03699_,14µm
_03997_,14µm
_04210_,14µm
_04336_,14µm
_04489_,14µm
_04563_,14µm
_04731_,14µm
_04782_,14µm
_04794_,14µm
_04856_,14µm
_04929_,14µm
_05005_,14µm
_05398_,14µm
_05484_,14µm
_05508_,14µm
_05601_,14µm
_05624_,14µm
_05689_,14µm
_06148_,14µm
_06450_,14µm
_06480_,14µm
_06858_,14µm
_06931_,14µm
_07226_,14µm
_07541_,14µm
_08234_,14µm
_08709_,14µm
_08829_,14µm
_09001_,14µm
_09330_,14µm
_09576_,14µm
_09618_,14µm
_09751_,14µm
_10021_,14µm
_10600_,14µm
_10661_,14µm
_11360_,14µm
_11708_,14µm
_11778_,14µm
_12080_,14µm
_12186_,14µm
_12236_,14µm
_12365_,14µm
_12433_,14µm
_12469_,14µm
_12657_,14µm
_12690_,14µm
_12900_,14µm
_13475_,14µm
_13909_,14µm
_14249_,14µm
_14468_,14µm
_14761_,14µm
_14945_,14µm
_15078_,14µm
_15183_,14µm
_15193_,14µm
_15386_,14µm
_15506_,14µm
_15572_,14µm
_15574_,14µm
_15640_,14µm
_15657_,14µm
_15742_,14µm
_16266_,14µm
_16438_,14µm
_16688_,14µm
_16766_,14µm
_16829_,14µm
_17014_,14µm
_17403_,14µm
_17466_,14µm
_17614_,14µm
_17627_,14µm
u_integration_final.integration_inst.command_parser_inst.o_uart_tx_data\[5\],14µm
u_integration_final.integration_inst.quantizer_inst.added_data\[35\],14µm
u_integration_final.integration_inst.reg_bank_inst.accum\[4\]\[16\],14µm
u_integration_final.uart_inst.bg.counter\[15\],14µm
u_integration_final.uart_inst.bg.counter\[6\],14µm
_07004_,13.77µm
_03691_,13.64µm
_04096_,13.59µm
_05823_,13.59µm
_06033_,13.59µm
_06439_,13.59µm
_06691_,13.59µm
_10220_,13.59µm
_15065_,13.59µm
_15286_,13.59µm
_17522_,13.59µm
u_integration_final.integration_inst.reg_bank_inst.accum\[5\]\[12\],13.59µm
net602,13.59µm
net1592,13.59µm
_02288_,13.54µm
_02614_,13.54µm
_02644_,13.54µm
_02744_,13.54µm
_03147_,13.54µm
_03352_,13.54µm
_03858_,13.54µm
_04196_,13.54µm
_04504_,13.54µm
_04572_,13.54µm
_04660_,13.54µm
_04676_,13.54µm
_04760_,13.54µm
_06233_,13.54µm
_06786_,13.54µm
_07145_,13.54µm
_10395_,13.54µm
_11598_,13.54µm
_11766_,13.54µm
_11790_,13.54µm
_11919_,13.54µm
_12439_,13.54µm
_12582_,13.54µm
_12589_,13.54µm
_12592_,13.54µm
_12843_,13.54µm
_12845_,13.54µm
_12965_,13.54µm
_13462_,13.54µm
_13471_,13.54µm
_13596_,13.54µm
_14176_,13.54µm
_14192_,13.54µm
_14392_,13.54µm
_14445_,13.54µm
_14465_,13.54µm
_14601_,13.54µm
_14681_,13.54µm
_15172_,13.54µm
_15248_,13.54µm
_15382_,13.54µm
_15701_,13.54µm
_15819_,13.54µm
_15982_,13.54µm
_16122_,13.54µm
_16128_,13.54µm
_16652_,13.54µm
_16811_,13.54µm
_17472_,13.54µm
_17629_,13.54µm
u_integration_final.integration_inst.quantizer_inst.shifted_data\[43\],13.54µm
u_integration_final.integration_inst.reg_bank_inst.accum\[1\]\[20\],13.54µm
u_integration_final.integration_inst.reg_bank_inst.accum\[4\]\[11\],13.54µm
u_integration_final.integration_inst.reg_bank_inst.accum\[5\]\[14\],13.54µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[10\],13.54µm
u_integration_final.integration_inst.reg_bank_inst.accum\[8\]\[21\],13.54µm
net2907,13.54µm
_00393_,13.49µm
_00580_,13.49µm
_00711_,13.49µm
_01117_,13.49µm
_01179_,13.49µm
_01314_,13.49µm
_01390_,13.49µm
_01564_,13.49µm
_01582_,13.49µm
_01586_,13.49µm
_01723_,13.49µm
_01921_,13.49µm
_02206_,13.49µm
_02312_,13.49µm
_02511_,13.49µm
_03154_,13.49µm
_03394_,13.49µm
_03623_,13.49µm
_03639_,13.49µm
_03723_,13.49µm
_03888_,13.49µm
_04479_,13.49µm
_04692_,13.49µm
_04819_,13.49µm
_04892_,13.49µm
_05396_,13.49µm
_06273_,13.49µm
_06294_,13.49µm
_06321_,13.49µm
_06366_,13.49µm
_06610_,13.49µm
_07436_,13.49µm
_07691_,13.49µm
_08203_,13.49µm
_08205_,13.49µm
_08779_,13.49µm
_08802_,13.49µm
_08837_,13.49µm
_08914_,13.49µm
_09066_,13.49µm
_09086_,13.49µm
_09166_,13.49µm
_09589_,13.49µm
_09720_,13.49µm
_09993_,13.49µm
_10003_,13.49µm
_10189_,13.49µm
_10359_,13.49µm
_10426_,13.49µm
_10518_,13.49µm
_10900_,13.49µm
_11632_,13.49µm
_12448_,13.49µm
_13187_,13.49µm
_13286_,13.49µm
_13464_,13.49µm
_13559_,13.49µm
_13671_,13.49µm
_13769_,13.49µm
_14081_,13.49µm
_14141_,13.49µm
_14207_,13.49µm
_14492_,13.49µm
_14503_,13.49µm
_14551_,13.49µm
_14568_,13.49µm
_14586_,13.49µm
_14918_,13.49µm
_15123_,13.49µm
_15567_,13.49µm
_15695_,13.49µm
_15791_,13.49µm
_15836_,13.49µm
_16725_,13.49µm
_16881_,13.49µm
_16997_,13.49µm
_17064_,13.49µm
_17215_,13.49µm
_17392_,13.49µm
_17616_,13.49µm
u_integration_final.integration_inst.quantizer_inst.zp_0\[1\],13.49µm
u_integration_final.integration_inst.reg_bank_inst.accum\[4\]\[20\],13.49µm
u_integration_final.uart_inst.bg.counter\[21\],13.49µm
net3210,13.49µm
_00069_,13.44µm
_00534_,13.44µm
_01382_,13.44µm
_01534_,13.44µm
_02116_,13.44µm
_02184_,13.44µm
_02311_,13.44µm
_02448_,13.44µm
_03399_,13.44µm
_03428_,13.44µm
_03474_,13.44µm
_03633_,13.44µm
_03714_,13.44µm
_04268_,13.44µm
_04581_,13.44µm
_04623_,13.44µm
_04667_,13.44µm
_04847_,13.44µm
_04857_,13.44µm
_04883_,13.44µm
_04999_,13.44µm
_05277_,13.44µm
_05314_,13.44µm
_05469_,13.44µm
_05523_,13.44µm
_05529_,13.44µm
_05613_,13.44µm
_05888_,13.44µm
_05947_,13.44µm
_06064_,13.44µm
_06980_,13.44µm
_07126_,13.44µm
_07329_,13.44µm
_07587_,13.44µm
_07853_,13.44µm
_07906_,13.44µm
_08468_,13.44µm
_08478_,13.44µm
_08489_,13.44µm
_08912_,13.44µm
_09064_,13.44µm
_09221_,13.44µm
_09883_,13.44µm
_09971_,13.44µm
_10107_,13.44µm
_10240_,13.44µm
_10287_,13.44µm
_10419_,13.44µm
_10618_,13.44µm
_10624_,13.44µm
_10656_,13.44µm
_11592_,13.44µm
_11681_,13.44µm
_11749_,13.44µm
_12127_,13.44µm
_12130_,13.44µm
_12355_,13.44µm
_12418_,13.44µm
_12487_,13.44µm
_12517_,13.44µm
_12770_,13.44µm
_12774_,13.44µm
_12783_,13.44µm
_13643_,13.44µm
_14023_,13.44µm
_14178_,13.44µm
_14188_,13.44µm
_14306_,13.44µm
_14477_,13.44µm
_14615_,13.44µm
_15096_,13.44µm
_15389_,13.44µm
_15493_,13.44µm
_15531_,13.44µm
_15578_,13.44µm
_15746_,13.44µm
_15785_,13.44µm
_15929_,13.44µm
_16039_,13.44µm
_16174_,13.44µm
_16195_,13.44µm
_16330_,13.44µm
_16527_,13.44µm
_16812_,13.44µm
_16869_,13.44µm
_16879_,13.44µm
_17051_,13.44µm
_17301_,13.44µm
_17495_,13.44µm
_17572_,13.44µm
_17609_,13.44µm
u_integration_final.integration_inst.mac_grid_inst.ROW_LOOP\[1\].COL_LOOP\[0\].mac_inst.o_result\[15\],13.44µm
_03049_,13.03µm
_03055_,13.03µm
_03296_,13.03µm
_04474_,13.03µm
_05386_,13.03µm
_06149_,13.03µm
_06498_,13.03µm
_09914_,13.03µm
_09959_,13.03µm
_14652_,13.03µm
_15219_,13.03µm
_17497_,13.03µm
u_integration_final.integration_inst.reg_bank_inst.accum\[2\]\[19\],13.03µm
u_integration_final.integration_inst.reg_bank_inst.accum\[3\]\[4\],13.03µm
_01665_,12.98µm
_01949_,12.98µm
_02217_,12.98µm
_02253_,12.98µm
_02736_,12.98µm
_02951_,12.98µm
_03293_,12.98µm
_03325_,12.98µm
_03644_,12.98µm
_03758_,12.98µm
_03894_,12.98µm
_03937_,12.98µm
_04023_,12.98µm
_04524_,12.98µm
_04619_,12.98µm
_05184_,12.98µm
_05246_,12.98µm
_05365_,12.98µm
_05866_,12.98µm
_06228_,12.98µm
_06295_,12.98µm
_06304_,12.98µm
_06370_,12.98µm
_06478_,12.98µm
_06730_,12.98µm
_07070_,12.98µm
_07138_,12.98µm
_07183_,12.98µm
_08483_,12.98µm
_08711_,12.98µm
_08921_,12.98µm
_09218_,12.98µm
_09541_,12.98µm
_10649_,12.98µm
_10729_,12.98µm
_11006_,12.98µm
_12042_,12.98µm
_12070_,12.98µm
_12073_,12.98µm
_12083_,12.98µm
_12492_,12.98µm
_13003_,12.98µm
_13778_,12.98µm
_13849_,12.98µm
_13966_,12.98µm
_13988_,12.98µm
_14166_,12.98µm
_14333_,12.98µm
_14455_,12.98µm
_14486_,12.98µm
_14597_,12.98µm
_14750_,12.98µm
_14860_,12.98µm
_15356_,12.98µm
_15750_,12.98µm
_15957_,12.98µm
_16463_,12.98µm
_16487_,12.98µm
_16582_,12.98µm
_17184_,12.98µm
_17360_,12.98µm
_17372_,12.98µm
u_integration_final.integration_inst.quantizer_inst.added_data\[33\],12.98µm
u_integration_final.integration_inst.reg_bank_inst.accum\[7\]\[18\],12.98µm
u_integration_final.uart_inst.bg.counter\[19\],12.98µm
net2226,12.98µm
_07873_,12.97µm
_00140_,12.93µm
_00587_,12.93µm
_01074_,12.93µm
_01084_,12.93µm
_01183_,12.93µm
_01337_,12.93µm
_01432_,12.93µm
_01518_,12.93µm
_01521_,12.93µm
_01533_,12.93µm
_01550_,12.93µm
_01554_,12.93µm
_01627_,12.93µm
_01764_,12.93µm
_01776_,12.93µm
_01964_,12.93µm
_02079_,12.93µm
_02080_,12.93µm
_02115_,12.93µm
_02198_,12.93µm
_02257_,12.93µm
_02364_,12.93µm
_02802_,12.93µm
_02869_,12.93µm
_03020_,12.93µm
_03048_,12.93µm
_03176_,12.93µm
_03831_,12.93µm
_03944_,12.93µm
_04265_,12.93µm
_04288_,12.93µm
_04982_,12.93µm
_05143_,12.93µm
_05226_,12.93µm
_05741_,12.93µm
_05898_,12.93µm
_06215_,12.93µm
_06808_,12.93µm
_06947_,12.93µm
_07008_,12.93µm
_07394_,12.93µm
_07891_,12.93µm
_08168_,12.93µm
_08236_,12.93µm
_08365_,12.93µm
_08380_,12.93µm
_08798_,12.93µm
_08920_,12.93µm
_08930_,12.93µm
_08979_,12.93µm
_09059_,12.93µm
_09321_,12.93µm
_09341_,12.93µm
_09418_,12.93µm
_09605_,12.93µm
_09780_,12.93µm
_10221_,12.93µm
_10356_,12.93µm
_10376_,12.93µm
_11209_,12.93µm
_11662_,12.93µm
_11808_,12.93µm
_11836_,12.93µm
_11995_,12.93µm
_12089_,12.93µm
_12239_,12.93µm
_12334_,12.93µm
_12349_,12.93µm
_12502_,12.93µm
_12516_,12.93µm
_12645_,12.93µm
_12913_,12.93µm
_12924_,12.93µm
_13009_,12.93µm
_13435_,12.93µm
_13440_,12.93µm
_13478_,12.93µm
_13603_,12.93µm
_13783_,12.93µm
_14111_,12.93µm
_14404_,12.93µm
_14430_,12.93µm
_14570_,12.93µm
_14675_,12.93µm
_14713_,12.93µm
_14949_,12.93µm
_15103_,12.93µm
_15160_,12.93µm
_15164_,12.93µm
_15181_,12.93µm
_15223_,12.93µm
_15444_,12.93µm
_15604_,12.93µm
_15775_,12.93µm
_15825_,12.93µm
_15832_,12.93µm
_15967_,12.93µm
_15988_,12.93µm
_16009_,12.93µm
_16336_,12.93µm
_16387_,12.93µm
_16591_,12.93µm
_16666_,12.93µm
_16917_,12.93µm
_16925_,12.93µm
_17045_,12.93µm
_17118_,12.93µm
_17200_,12.93µm
_17242_,12.93µm
_17245_,12.93µm
_17328_,12.93µm
_17399_,12.93µm
_17433_,12.93µm
_17556_,12.93µm
u_integration_final.integration_inst.command_parser_inst.data_read_buf,12.93µm
u_integration_final.integration_inst.mac_grid_inst.overflow_array\[5\]\[0\],12.93µm
u_integration_final.integration_inst.quantizer_inst.added_data\[45\],12.93µm
u_integration_final.integration_inst.reg_bank_inst.accum\[4\]\[14\],12.93µm
u_integration_final.integration_inst.reg_bank_inst.accum\[4\]\[9\],12.93µm
u_integration_final.integration_inst.reg_bank_inst.accum\[5\]\[5\],12.93µm
u_integration_final.uart_inst.ut.bitCount\[3\],12.93µm
net964,12.93µm
net1175,12.93µm
net1233,12.93µm
net1962,12.93µm
net3868,12.93µm
net3892,12.93µm
_00102_,12.88µm
_00434_,12.88µm
_00610_,12.88µm
_00636_,12.88µm
_01368_,12.88µm
_01690_,12.88µm
_01959_,12.88µm
_02029_,12.88µm
_02083_,12.88µm
_02271_,12.88µm
_02292_,12.88µm
_02398_,12.88µm
_02464_,12.88µm
_02700_,12.88µm
_02935_,12.88µm
_03192_,12.88µm
_03555_,12.88µm
_03586_,12.88µm
_03653_,12.88µm
_03730_,12.88µm
_03828_,12.88µm
_03832_,12.88µm
_03874_,12.88µm
_03918_,12.88µm
_04069_,12.88µm
_04105_,12.88µm
_04132_,12.88µm
_04175_,12.88µm
_04234_,12.88µm
_04843_,12.88µm
_04877_,12.88µm
_05219_,12.88µm
_05305_,12.88µm
_05324_,12.88µm
_05501_,12.88µm
_05629_,12.88µm
_05747_,12.88µm
_06098_,12.88µm
_06342_,12.88µm
_06909_,12.88µm
_06995_,12.88µm
_07049_,12.88µm
_07346_,12.88µm
_07605_,12.88µm
_07656_,12.88µm
_08189_,12.88µm
_08244_,12.88µm
_08363_,12.88µm
_08660_,12.88µm
_08718_,12.88µm
_08753_,12.88µm
_09008_,12.88µm
_09070_,12.88µm
_09282_,12.88µm
_09560_,12.88µm
_10190_,12.88µm
_10578_,12.88µm
_10722_,12.88µm
_10780_,12.88µm
_10807_,12.88µm
_11273_,12.88µm
_11318_,12.88µm
_11515_,12.88µm
_11799_,12.88µm
_11880_,12.88µm
_11933_,12.88µm
_12204_,12.88µm
_12354_,12.88µm
_12756_,12.88µm
_12987_,12.88µm
_13037_,12.88µm
_13465_,12.88µm
_13644_,12.88µm
_13908_,12.88µm
_14096_,12.88µm
_14120_,12.88µm
_14436_,12.88µm
_14629_,12.88µm
_14884_,12.88µm
_15652_,12.88µm
_15693_,12.88µm
_15888_,12.88µm
_16125_,12.88µm
_16414_,12.88µm
_16429_,12.88µm
_16455_,12.88µm
_16740_,12.88µm
_16784_,12.88µm
_16785_,12.88µm
_16789_,12.88µm
_17144_,12.88µm
_17181_,12.88µm
_17417_,12.88µm
u_integration_final.integration_inst.quantizer_inst.added_data\[39\],12.88µm
u_integration_final.integration_inst.quantizer_inst.zp_0\[7\],12.88µm
net1387,12.88µm
net1521,12.88µm
net2880,12.88µm
_02976_,12.7µm
_15363_,12.52µm
_16000_,12.52µm
_02694_,12.47µm
_03622_,12.47µm
_05360_,12.47µm
_05896_,12.47µm
_06139_,12.47µm
_13281_,12.47µm
_14116_,12.47µm
_15169_,12.47µm
_16030_,12.47µm
_17570_,12.47µm
net1674,12.47µm
_00050_,12.42µm
_00142_,12.42µm
_01794_,12.42µm
_02599_,12.42µm
_02850_,12.42µm
_02886_,12.42µm
_02892_,12.42µm
_02908_,12.42µm
_03158_,12.42µm
_03167_,12.42µm
_03416_,12.42µm
_04302_,12.42µm
_04361_,12.42µm
_04539_,12.42µm
_04541_,12.42µm
_04548_,12.42µm
_04554_,12.42µm
_04579_,12.42µm
_04902_,12.42µm
_05124_,12.42µm
_05306_,12.42µm
_05753_,12.42µm
_05816_,12.42µm
_05974_,12.42µm
_06040_,12.42µm
_06086_,12.42µm
_06136_,12.42µm
_06345_,12.42µm
_06479_,12.42µm
_07527_,12.42µm
_08899_,12.42µm
_09033_,12.42µm
_09156_,12.42µm
_09490_,12.42µm
_09555_,12.42µm
_10106_,12.42µm
_10716_,12.42µm
_10786_,12.42µm
_11107_,12.42µm
_11426_,12.42µm
_11522_,12.42µm
_11863_,12.42µm
_11959_,12.42µm
_11998_,12.42µm
_12732_,12.42µm
_12817_,12.42µm
_13161_,12.42µm
_13555_,12.42µm
_13796_,12.42µm
_14197_,12.42µm
_14202_,12.42µm
_14670_,12.42µm
_14677_,12.42µm
_15141_,12.42µm
_15668_,12.42µm
_15748_,12.42µm
_15761_,12.42µm
_15965_,12.42µm
_16065_,12.42µm
_16537_,12.42µm
_17280_,12.42µm
_17308_,12.42µm
_17540_,12.42µm
u_integration_final.integration_inst.quantizer_inst.zp_1\[2\],12.42µm
u_integration_final.integration_inst.reg_bank_inst.accum\[3\]\[19\],12.42µm
net1296,12.42µm
_00088_,12.37µm
_00544_,12.37µm
_00988_,12.37µm
_01125_,12.37µm
_01196_,12.37µm
_01332_,12.37µm
_01424_,12.37µm
_01477_,12.37µm
_01519_,12.37µm
_01585_,12.37µm
_01594_,12.37µm
_01805_,12.37µm
_02172_,12.37µm
_02215_,12.37µm
_02259_,12.37µm
_02324_,12.37µm
_02731_,12.37µm
_02950_,12.37µm
_03018_,12.37µm
_03190_,12.37µm
_03335_,12.37µm
_03415_,12.37µm
_03434_,12.37µm
_03560_,12.37µm
_03634_,12.37µm
_04349_,12.37µm
_04602_,12.37µm
_04823_,12.37µm
_05040_,12.37µm
_05217_,12.37µm
_05400_,12.37µm
_05417_,12.37µm
