net,length_um
net4137,213.76µm
net4460,213.68µm
net108,213.66µm
net1890,213.66µm
net2012,213.66µm
net1769,213.61µm
net1825,213.61µm
net1305,213.51µm
net1743,213.51µm
net3893,213.51µm
net1513,213.46µm
net1870,213.46µm
net1958,213.2µm
net1785,213.15µm
net3640,213.05µm
clknet_leaf_30_i_clk,213.05µm
net4225,213.05µm
net2855,213µm
net3444,213µm
net19,212.95µm
net2443,212.95µm
net3511,212.95µm
net4343,212.95µm
net717,212.9µm
net2380,212.86µm
net1911,212.85µm
net3247,212.85µm
net3530,212.84µm
net2696,212.67µm
net346,212.59µm
net2249,212.59µm
net1486,212.54µm
clknet_leaf_41_i_clk,212.54µm
net4415,212.54µm
net1367,212.49µm
net2614,212.49µm
net3123,212.49µm
net4281,212.49µm
net1380,212.44µm
net2137,212.44µm
net3193,212.44µm
net3977,212.44µm
net3788,212.39µm
net4472,212.39µm
_12290_,212.34µm
net2091,212.34µm
_11399_,212.29µm
net1136,212.29µm
net1905,212.13µm
net209,212.11µm
net1318,212.03µm
net2229,212.03µm
net2452,212.03µm
net2013,211.98µm
net2048,211.98µm
net589,211.93µm
net2862,211.93µm
net2020,211.88µm
net2253,211.88µm
net3498,211.86µm
net1501,211.83µm
net3188,211.52µm
net4143,211.47µm
net3420,211.43µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[9\]\[2\],211.4µm
net2821,211.32µm
net3853,211.32µm
net4661,211.27µm
net2840,211.17µm
net3304,211.17µm
net4400,211.12µm
net2580,210.91µm
net4257,210.91µm
net1370,210.86µm
net4655,210.86µm
_14128_,210.81µm
net1377,210.81µm
net3813,210.81µm
net4251,210.81µm
net3330,210.76µm
net1265,210.71µm
net1478,210.71µm
net1587,210.6µm
clknet_leaf_83_i_clk,210.35µm
_15508_,210.3µm
net2163,210.25µm
net2337,210.25µm
net4414,210.25µm
net4430,210.15µm
net3521,210.09µm
net3459,210.08µm
_02030_,210.05µm
net4461,210.05µm
net1891,210.02µm
net3949,209.89µm
clknet_leaf_82_i_clk,209.89µm
net2160,209.74µm
net4423,209.74µm
net490,209.69µm
net4284,209.69µm
_01898_,209.64µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[19\]\[3\],209.64µm
net1668,209.64µm
net1399,209.6µm
net4498,209.56µm
net1205,209.54µm
net4230,209.49µm
net1422,209.44µm
net2330,209.44µm
net1469,209.28µm
net1541,209.23µm
net2636,209.18µm
net4155,209.18µm
net1540,209.13µm
net4673,209.13µm
net1690,209.08µm
net1786,209.08µm
net509,209.03µm
net1195,209.03µm
net724,208.98µm
net3553,208.98µm
net291,208.77µm
net4028,208.67µm
net1423,208.62µm
net2038,208.62µm
net2257,208.62µm
net1064,208.52µm
net2260,208.52µm
_02431_,208.47µm
net242,208.47µm
net2445,208.47µm
net2232,208.42µm
net1456,208.21µm
_13028_,208.06µm
net332,208.01µm
net2357,208.01µm
net3666,208.01µm
net4439,208.01µm
net3059,207.96µm
net3860,207.96µm
net4232,207.96µm
net4269,207.96µm
net2190,207.95µm
_01839_,207.91µm
net1925,207.91µm
net2782,207.86µm
_17178_,207.5µm
